,SCHOOL_YEAR,DIV_NAME,SCH_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
1242,2018-2019,Alexandria City,T.C. Williams High,3.0,F,N,N,Y,88,84.0909090909091,0.0
1243,2018-2019,Alexandria City,T.C. Williams High,4.0,F,N,N,Y,60,83.33333333333333,1.6666666666666667
1244,2018-2019,Alexandria City,T.C. Williams High,5.0,F,N,N,Y,6,66.66666666666667,16.666666666666668
1248,2018-2019,Alexandria City,T.C. Williams High,2.0,M,N,N,Y,8,100.0,0.0
1249,2018-2019,Alexandria City,T.C. Williams High,3.0,M,N,N,Y,58,86.20689655172414,1.7241379310344827
1250,2018-2019,Alexandria City,T.C. Williams High,4.0,M,N,N,Y,54,83.33333333333333,0.0
1251,2018-2019,Alexandria City,T.C. Williams High,5.0,M,N,N,Y,7,85.71428571428571,0.0
1256,2018-2019,Alexandria City,T.C. Williams High,3.0,F,Y,N,Y,9,88.88888888888889,0.0
1257,2018-2019,Alexandria City,T.C. Williams High,4.0,F,Y,N,Y,3,100.0,0.0
1263,2018-2019,Alexandria City,T.C. Williams High,3.0,M,Y,N,Y,21,90.47619047619048,4.761904761904762
1264,2018-2019,Alexandria City,T.C. Williams High,4.0,M,Y,N,Y,5,100.0,0.0
1265,2018-2019,Alexandria City,T.C. Williams High,5.0,M,Y,N,Y,4,100.0,0.0
1269,2018-2019,Alexandria City,T.C. Williams High,2.0,F,N,Y,Y,6,83.33333333333333,16.666666666666668
1270,2018-2019,Alexandria City,T.C. Williams High,3.0,F,N,Y,Y,21,100.0,0.0
1271,2018-2019,Alexandria City,T.C. Williams High,4.0,F,N,Y,Y,68,63.23529411764706,23.529411764705884
1272,2018-2019,Alexandria City,T.C. Williams High,5.0,F,N,Y,Y,7,100.0,0.0
1276,2018-2019,Alexandria City,T.C. Williams High,2.0,M,N,Y,Y,8,50.0,25.0
1277,2018-2019,Alexandria City,T.C. Williams High,3.0,M,N,Y,Y,17,100.0,0.0
